,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,use_waning,pop_type,pop_size,pop_infected,location,interventions,imbalance
0,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,171.0,241.0,264.0,273.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,140.0,193.0,211.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,144.0,196.0,216.0,223.0,224.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,156.0,219.0,249.0,261.0,264.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,,
1,100.0,244.0,601.0,1359.0,3041.0,6225.0,0.0,0.0,0.0,0.0,2.0,3.0,14,35,True,hybrid,50000,100,France,,
2,100.0,199.0,503.0,1119.0,2494.0,5258.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,True,hybrid,50000,100,France,,
3,100.0,181.0,413.0,814.0,1641.0,3276.0,0.0,0.0,0.0,1.0,4.0,5.0,14,35,True,hybrid,50000,100,France,,
4,100.0,205.0,461.0,887.0,1777.0,3446.0,0.0,0.0,0.0,0.0,1.0,6.0,14,35,True,hybrid,50000,100,France,,
0,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,173.0,243.0,268.0,279.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,166.0,243.0,267.0,276.0,278.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,139.0,194.0,218.0,229.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,166.0,235.0,281.0,296.0,297.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,,
1,100.0,234.0,566.0,1297.0,2977.0,6530.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,,
2,100.0,215.0,498.0,1193.0,2673.0,5654.0,0.0,0.0,0.0,0.0,2.0,7.0,14,35,True,hybrid,50000,100,New Zealand,,
3,100.0,197.0,457.0,1053.0,2505.0,5267.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,,
4,100.0,231.0,568.0,1311.0,2813.0,5778.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,True,hybrid,50000,100,New Zealand,,
0,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,168.0,231.0,263.0,280.0,284.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,145.0,229.0,253.0,268.0,269.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,139.0,179.0,198.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,148.0,198.0,240.0,249.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,,
1,100.0,244.0,601.0,1359.0,3041.0,6225.0,0.0,0.0,0.0,0.0,2.0,3.0,14,35,True,hybrid,50000,100,France,,
2,100.0,199.0,503.0,1119.0,2494.0,5258.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,True,hybrid,50000,100,France,,
3,100.0,181.0,413.0,814.0,1641.0,3276.0,0.0,0.0,0.0,1.0,4.0,5.0,14,35,True,hybrid,50000,100,France,,
4,100.0,205.0,461.0,887.0,1777.0,3446.0,0.0,0.0,0.0,0.0,1.0,6.0,14,35,True,hybrid,50000,100,France,,
0,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,171.0,241.0,264.0,273.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,140.0,193.0,211.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,144.0,196.0,216.0,223.0,224.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,156.0,219.0,249.0,261.0,264.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,,
1,100.0,234.0,566.0,1297.0,2977.0,6530.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,,
2,100.0,215.0,498.0,1193.0,2673.0,5654.0,0.0,0.0,0.0,0.0,2.0,7.0,14,35,True,hybrid,50000,100,New Zealand,,
3,100.0,197.0,457.0,1053.0,2505.0,5267.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,,
4,100.0,231.0,568.0,1311.0,2813.0,5778.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,True,hybrid,50000,100,New Zealand,,
0,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,161.0,228.0,253.0,266.0,269.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,160.0,240.0,287.0,302.0,303.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,146.0,209.0,232.0,245.0,246.0,0.0,0.0,0.0,2.0,2.0,2.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,173.0,238.0,265.0,275.0,279.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,,
1,100.0,245.0,559.0,1234.0,2639.0,5182.0,0.0,0.0,0.0,0.0,1.0,4.0,14,35,True,hybrid,50000,100,Japan,,
2,100.0,205.0,522.0,1204.0,2595.0,5356.0,0.0,0.0,0.0,1.0,4.0,4.0,14,35,True,hybrid,50000,100,Japan,,
3,100.0,183.0,428.0,1000.0,2405.0,5305.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,Japan,,
4,100.0,234.0,509.0,1105.0,2493.0,5330.0,0.0,0.0,0.0,0.0,2.0,5.0,14,35,True,hybrid,50000,100,Japan,,
0,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,173.0,243.0,268.0,279.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,166.0,243.0,267.0,276.0,278.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,139.0,194.0,218.0,229.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,166.0,235.0,281.0,296.0,297.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,,
1,100.0,245.0,559.0,1234.0,2639.0,5182.0,0.0,0.0,0.0,0.0,1.0,4.0,14,35,True,hybrid,50000,100,Japan,,
2,100.0,205.0,522.0,1204.0,2595.0,5356.0,0.0,0.0,0.0,1.0,4.0,4.0,14,35,True,hybrid,50000,100,Japan,,
3,100.0,183.0,428.0,1000.0,2405.0,5305.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,Japan,,
4,100.0,234.0,509.0,1105.0,2493.0,5330.0,0.0,0.0,0.0,0.0,2.0,5.0,14,35,True,hybrid,50000,100,Japan,,
0,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,173.0,243.0,268.0,279.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,166.0,243.0,267.0,276.0,278.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,139.0,194.0,218.0,229.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,166.0,235.0,281.0,296.0,297.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,,
1,100.0,244.0,601.0,1359.0,3041.0,6225.0,0.0,0.0,0.0,0.0,2.0,3.0,14,35,True,hybrid,50000,100,France,,
2,100.0,199.0,503.0,1119.0,2494.0,5258.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,True,hybrid,50000,100,France,,
3,100.0,181.0,413.0,814.0,1641.0,3276.0,0.0,0.0,0.0,1.0,4.0,5.0,14,35,True,hybrid,50000,100,France,,
4,100.0,205.0,461.0,887.0,1777.0,3446.0,0.0,0.0,0.0,0.0,1.0,6.0,14,35,True,hybrid,50000,100,France,,
0,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,171.0,241.0,264.0,273.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,140.0,193.0,211.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,144.0,196.0,216.0,223.0,224.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,156.0,219.0,249.0,261.0,264.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,,
1,100.0,234.0,566.0,1297.0,2977.0,6530.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,,
2,100.0,215.0,498.0,1193.0,2673.0,5654.0,0.0,0.0,0.0,0.0,2.0,7.0,14,35,True,hybrid,50000,100,New Zealand,,
3,100.0,197.0,457.0,1053.0,2505.0,5267.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,,
4,100.0,231.0,568.0,1311.0,2813.0,5778.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,True,hybrid,50000,100,New Zealand,,
0,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,168.0,231.0,263.0,280.0,284.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,145.0,229.0,253.0,268.0,269.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,139.0,179.0,198.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,148.0,198.0,240.0,249.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,,
1,100.0,234.0,566.0,1297.0,2977.0,6530.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,,
2,100.0,215.0,498.0,1193.0,2673.0,5654.0,0.0,0.0,0.0,0.0,2.0,7.0,14,35,True,hybrid,50000,100,New Zealand,,
3,100.0,197.0,457.0,1053.0,2505.0,5267.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,,
4,100.0,231.0,568.0,1311.0,2813.0,5778.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,True,hybrid,50000,100,New Zealand,,
0,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,171.0,241.0,264.0,273.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,140.0,193.0,211.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,144.0,196.0,216.0,223.0,224.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,156.0,219.0,249.0,261.0,264.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,,
1,100.0,234.0,566.0,1297.0,2977.0,6530.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,,
2,100.0,215.0,498.0,1193.0,2673.0,5654.0,0.0,0.0,0.0,0.0,2.0,7.0,14,35,True,hybrid,50000,100,New Zealand,,
3,100.0,197.0,457.0,1053.0,2505.0,5267.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,,
4,100.0,231.0,568.0,1311.0,2813.0,5778.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,True,hybrid,50000,100,New Zealand,,
0,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,171.0,241.0,264.0,273.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,140.0,193.0,211.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,144.0,196.0,216.0,223.0,224.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,156.0,219.0,249.0,261.0,264.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,,
1,100.0,245.0,559.0,1234.0,2639.0,5182.0,0.0,0.0,0.0,0.0,1.0,4.0,14,35,True,hybrid,50000,100,Japan,,
2,100.0,205.0,522.0,1204.0,2595.0,5356.0,0.0,0.0,0.0,1.0,4.0,4.0,14,35,True,hybrid,50000,100,Japan,,
3,100.0,183.0,428.0,1000.0,2405.0,5305.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,Japan,,
4,100.0,234.0,509.0,1105.0,2493.0,5330.0,0.0,0.0,0.0,0.0,2.0,5.0,14,35,True,hybrid,50000,100,Japan,,
0,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,171.0,241.0,264.0,273.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,140.0,193.0,211.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,144.0,196.0,216.0,223.0,224.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,156.0,219.0,249.0,261.0,264.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,,
1,100.0,234.0,566.0,1297.0,2977.0,6530.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,,
2,100.0,215.0,498.0,1193.0,2673.0,5654.0,0.0,0.0,0.0,0.0,2.0,7.0,14,35,True,hybrid,50000,100,New Zealand,,
3,100.0,197.0,457.0,1053.0,2505.0,5267.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,,
4,100.0,231.0,568.0,1311.0,2813.0,5778.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,True,hybrid,50000,100,New Zealand,,
0,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,173.0,243.0,268.0,279.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,166.0,243.0,267.0,276.0,278.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,139.0,194.0,218.0,229.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,166.0,235.0,281.0,296.0,297.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,,
1,100.0,245.0,559.0,1234.0,2639.0,5182.0,0.0,0.0,0.0,0.0,1.0,4.0,14,35,True,hybrid,50000,100,Japan,,
2,100.0,205.0,522.0,1204.0,2595.0,5356.0,0.0,0.0,0.0,1.0,4.0,4.0,14,35,True,hybrid,50000,100,Japan,,
3,100.0,183.0,428.0,1000.0,2405.0,5305.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,Japan,,
4,100.0,234.0,509.0,1105.0,2493.0,5330.0,0.0,0.0,0.0,0.0,2.0,5.0,14,35,True,hybrid,50000,100,Japan,,
0,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,171.0,241.0,264.0,273.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,140.0,193.0,211.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,144.0,196.0,216.0,223.0,224.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,156.0,219.0,249.0,261.0,264.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,1,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,,
1,100.0,245.0,559.0,1234.0,2639.0,5182.0,0.0,0.0,0.0,0.0,1.0,4.0,14,35,True,hybrid,50000,100,Japan,,
2,100.0,205.0,522.0,1204.0,2595.0,5356.0,0.0,0.0,0.0,1.0,4.0,4.0,14,35,True,hybrid,50000,100,Japan,,
3,100.0,183.0,428.0,1000.0,2405.0,5305.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,Japan,,
4,100.0,234.0,509.0,1105.0,2493.0,5330.0,0.0,0.0,0.0,0.0,2.0,5.0,14,35,True,hybrid,50000,100,Japan,,
0,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,161.0,228.0,253.0,266.0,269.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,160.0,240.0,287.0,302.0,303.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,146.0,209.0,232.0,245.0,246.0,0.0,0.0,0.0,2.0,2.0,2.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,173.0,238.0,265.0,275.0,279.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,0,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,,
1,100.0,244.0,601.0,1359.0,3041.0,6225.0,0.0,0.0,0.0,0.0,2.0,3.0,14,35,True,hybrid,50000,100,France,,
2,100.0,199.0,503.0,1119.0,2494.0,5258.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,True,hybrid,50000,100,France,,
3,100.0,181.0,413.0,814.0,1641.0,3276.0,0.0,0.0,0.0,1.0,4.0,5.0,14,35,True,hybrid,50000,100,France,,
4,100.0,205.0,461.0,887.0,1777.0,3446.0,0.0,0.0,0.0,0.0,1.0,6.0,14,35,True,hybrid,50000,100,France,,
0,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,173.0,243.0,268.0,279.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,166.0,243.0,267.0,276.0,278.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,139.0,194.0,218.0,229.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,166.0,235.0,281.0,296.0,297.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,3,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,,
1,100.0,245.0,559.0,1234.0,2639.0,5182.0,0.0,0.0,0.0,0.0,1.0,4.0,14,35,True,hybrid,50000,100,Japan,,
2,100.0,205.0,522.0,1204.0,2595.0,5356.0,0.0,0.0,0.0,1.0,4.0,4.0,14,35,True,hybrid,50000,100,Japan,,
3,100.0,183.0,428.0,1000.0,2405.0,5305.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,Japan,,
4,100.0,234.0,509.0,1105.0,2493.0,5330.0,0.0,0.0,0.0,0.0,2.0,5.0,14,35,True,hybrid,50000,100,Japan,,
